Date;sku;name;umb;Cantidad
2017-07-25;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-07-25;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-07-26;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-48
2017-07-26;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-07-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-07-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;192
2017-07-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-07-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-24
2017-07-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-96
2017-07-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-96
2017-07-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-07-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-08-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-08-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-08-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-08-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-08-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-08-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-120
2017-08-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1
2017-08-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;12
2017-08-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-08-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-08-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;13
2017-08-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;168
2017-08-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;526
2017-08-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-08-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-08-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-08-09;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-08-09;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-08-10;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-08-10;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-08-10;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-08-14;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-08-14;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-08-16;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-08-16;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-08-16;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-08-17;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-08-17;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-08-22;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-08-22;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
