date;sku;txt;umb;qty;
2024-09-09;17794;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1008;
2024-09-10;17795;Traucet acetaminofen 1g/ 100mL PP Foil;UN;21431;
2024-09-11;17796;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3552;
2024-09-12;17797;Traucet acetaminofen 1g/ 100mL PP Foil;UN;10920;
2024-09-13;17798;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2784;
2024-09-16;17799;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3552;
2024-09-17;17800;Traucet acetaminofen 1g/ 100mL PP Foil;UN;432;
2024-09-18;17801;Traucet acetaminofen 1g/ 100mL PP Foil;UN;9576;
2024-09-19;17802;Traucet acetaminofen 1g/ 100mL PP Foil;UN;940;
2024-09-20;17803;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1824;
2024-09-23;17804;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1152;
2024-09-24;17805;Traucet acetaminofen 1g/ 100mL PP Foil;UN;22204;
2024-09-25;17806;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2688;
2024-09-26;17807;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2880;
2024-09-27;17808;Traucet acetaminofen 1g/ 100mL PP Foil;UN;288;
2024-09-30;17809;Traucet acetaminofen 1g/ 100mL PP Foil;UN;7848;
2024-10-01;17810;Traucet acetaminofen 1g/ 100mL PP Foil;UN;9216;
2024-10-02;17811;Traucet acetaminofen 1g/ 100mL PP Foil;UN;18146;
2024-10-03;17812;Traucet acetaminofen 1g/ 100mL PP Foil;UN;10200;
2024-10-04;17813;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4902;
2024-10-07;17814;Traucet acetaminofen 1g/ 100mL PP Foil;UN;216;
2024-10-08;17815;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1392;
2024-10-09;17816;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1368;
2024-10-10;17817;Traucet acetaminofen 1g/ 100mL PP Foil;UN;8736;
2024-10-11;17818;Traucet acetaminofen 1g/ 100mL PP Foil;UN;336;
2024-10-15;17819;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4296;
2024-10-16;17820;Traucet acetaminofen 1g/ 100mL PP Foil;UN;382;
2024-10-17;17821;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3744;
2024-10-18;17822;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5064;
2024-10-21;17823;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3528;
2024-10-22;17824;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5832;
2024-10-23;17825;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72;
2024-10-24;17826;Traucet acetaminofen 1g/ 100mL PP Foil;UN;15720;
2024-10-25;17827;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6840;
2024-10-28;17828;Traucet acetaminofen 1g/ 100mL PP Foil;UN;14472;
2024-10-29;17829;Traucet acetaminofen 1g/ 100mL PP Foil;UN;12792;
2024-10-31;17830;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1224;
2024-11-01;17831;Traucet acetaminofen 1g/ 100mL PP Foil;UN;20448;
2024-11-05;17832;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3360;
2024-11-06;17833;Traucet acetaminofen 1g/ 100mL PP Foil;UN;912;
2024-11-07;17834;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5208;
2024-11-08;17835;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2765;
2024-11-12;17836;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4080;
2024-11-13;17837;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5832;
2024-11-14;17838;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5328;
2024-11-15;17839;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4440;
2024-11-18;17840;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3912;
2024-11-19;17841;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2928;
2024-11-20;17842;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4988;
2024-11-21;17843;Traucet acetaminofen 1g/ 100mL PP Foil;UN;37608;
2024-11-22;17844;Traucet acetaminofen 1g/ 100mL PP Foil;UN;19992;
2024-11-25;17845;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4247;
2024-11-26;17846;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48072;
2024-11-27;17847;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6504;
2024-11-28;17848;Traucet acetaminofen 1g/ 100mL PP Foil;UN;7758;
2024-11-29;17849;Traucet acetaminofen 1g/ 100mL PP Foil;UN;17072;
2024-12-02;17850;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5784;
2024-12-03;17851;Traucet acetaminofen 1g/ 100mL PP Foil;UN;10824;
2024-12-04;17852;Traucet acetaminofen 1g/ 100mL PP Foil;UN;10320;
2024-12-05;17853;Traucet acetaminofen 1g/ 100mL PP Foil;UN;9528;
2024-12-06;17854;Traucet acetaminofen 1g/ 100mL PP Foil;UN;866;
2024-12-09;17855;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4463;
2024-12-10;17856;Traucet acetaminofen 1g/ 100mL PP Foil;UN;30624;
2024-12-11;17857;Traucet acetaminofen 1g/ 100mL PP Foil;UN;8008;
2024-12-12;17858;Traucet acetaminofen 1g/ 100mL PP Foil;UN;9384;
2024-12-16;17860;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4320;
2024-12-17;17861;Traucet acetaminofen 1g/ 100mL PP Foil;UN;720;
2024-12-18;17862;Traucet acetaminofen 1g/ 100mL PP Foil;UN;10104;
2024-12-19;17863;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6696;
2024-12-20;17864;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2400;
2024-12-23;17865;Traucet acetaminofen 1g/ 100mL PP Foil;UN;9024;
2025-01-02;17866;Traucet acetaminofen 1g/ 100mL PP Foil;UN;168;
2025-01-03;17867;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2;
2025-01-07;17868;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1056;
2025-01-09;17870;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2904;
2025-01-10;17871;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1464;
2025-01-13;17872;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1920;
2025-01-14;17873;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4776;
2025-01-15;17874;Traucet acetaminofen 1g/ 100mL PP Foil;UN;10344;
2025-01-17;17875;Traucet acetaminofen 1g/ 100mL PP Foil;UN;336;
2025-01-20;17876;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2568;
